,publisher,topic,total_time_seconds,type,setup
13,10.0.0.1,B,0.7071495056152344,direct,four_pub_four_sub
14,10.0.0.21,C,0.6644725799560548,direct,four_pub_four_sub
15,10.0.0.1,C,1.1718273162841795,direct,four_pub_four_sub
16,10.0.0.11,B,0.6265640258789062,direct,four_pub_four_sub
17,10.0.0.16,B,0.7917881011962892,direct,four_pub_four_sub
18,10.0.0.21,B,0.6587505340576173,direct,four_pub_four_sub
19,10.0.0.11,C,1.1022090911865234,direct,four_pub_four_sub
20,10.0.0.16,C,1.0464191436767578,direct,four_pub_four_sub
21,10.0.0.1,B,0.9436607360839844,direct,four_pub_four_sub
22,10.0.0.21,C,1.0221004486083984,direct,four_pub_four_sub
23,10.0.0.1,C,0.9593963623046877,direct,four_pub_four_sub
24,10.0.0.11,B,1.0938644409179688,direct,four_pub_four_sub
25,10.0.0.16,B,0.8928775787353516,direct,four_pub_four_sub
26,10.0.0.21,B,1.1413097381591795,direct,four_pub_four_sub
27,10.0.0.11,C,0.8523464202880858,direct,four_pub_four_sub
28,10.0.0.16,C,0.5042552947998047,direct,four_pub_four_sub
29,10.0.0.1,B,1.0530948638916016,direct,four_pub_four_sub
30,10.0.0.21,C,1.0328292846679688,direct,four_pub_four_sub
31,10.0.0.1,C,0.5846023559570312,direct,four_pub_four_sub
32,10.0.0.11,B,0.9465217590332033,direct,four_pub_four_sub
33,10.0.0.16,B,0.5271434783935547,direct,four_pub_four_sub
34,10.0.0.21,B,1.210927963256836,direct,four_pub_four_sub
35,10.0.0.11,C,1.2464523315429688,direct,four_pub_four_sub
36,10.0.0.16,C,0.9543895721435547,direct,four_pub_four_sub
37,10.0.0.1,B,1.1811256408691404,direct,four_pub_four_sub
38,10.0.0.21,C,1.138448715209961,direct,four_pub_four_sub
39,10.0.0.1,C,0.7803440093994142,direct,four_pub_four_sub
40,10.0.0.11,B,0.9870529174804688,direct,four_pub_four_sub
41,10.0.0.16,B,0.4150867462158203,direct,four_pub_four_sub
42,10.0.0.21,B,1.196146011352539,direct,four_pub_four_sub
43,10.0.0.11,C,0.5502700805664061,direct,four_pub_four_sub
44,10.0.0.16,C,0.4155635833740233,direct,four_pub_four_sub
45,10.0.0.1,B,0.25534629821777344,direct,four_pub_four_sub
46,10.0.0.21,C,0.9009838104248047,direct,four_pub_four_sub
47,10.0.0.1,C,0.3731250762939453,direct,four_pub_four_sub
48,10.0.0.11,B,0.42939186096191406,direct,four_pub_four_sub
